ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus,URL,Genus2
ACR15778,1511883,Human bocavirus 4 NI,FJ973561.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/FJ973561.2,Bocaparvovirus
ACR15767,1511880,Human bocavirus 2a TU,FJ973558.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/FJ973558.1,Bocaparvovirus
ACJ38931,1511882,Human bocavirus 2c PK,FJ170278.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/FJ170278.1,Bocaparvovirus
ACR15767,1511880,Human bocavirus 2a TU,FJ973558.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/FJ973558.1,Bocaparvovirus
ACR15778,1511883,Human bocavirus 4 NI,FJ973561.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/FJ973561.2,Bocaparvovirus
ACL31580,329639,Canine minute virus,FJ214110.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 1,Carnivore bocaparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/FJ214110.1,Bocaparvovirus
YP_164339,292208,Dendrolimus punctatus densovirus,NC_006555.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 3,Lepidopteran iteradensovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/NC_006555.1,Iteradensovirus
AAG10007,1513225,Penaeus stylirostris penstyldensovirus 1,AF273215.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1,Decapod penstyldensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AF273215.1,Penstyldensovirus
AGW23423,1513224,Decapod penstyldensovirus 1,KF214742.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus,,http://www.ncbi.nlm.nih.gov/nuccore/KF214742.1,Penstyldensovirus
ACV52075,1513226,Penaeus monodon penstyldensovirus 1,GQ411199.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Penstyldensovirus;Decapod penstyldensovirus 1,Decapod penstyldensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/GQ411199.1,Penstyldensovirus
YP_006589928,1221208,Papilio polyxenes densovirus,NC_018450.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 4,Lepidopteran iteradensovirus 4,http://www.ncbi.nlm.nih.gov/nuccore/NC_018450.1,Iteradensovirus
NP_694838,180586,Casphalia extranea densovirus,NC_004288.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 2,Lepidopteran iteradensovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/NC_004288.1,Iteradensovirus
AAA67108,10794,Minute virus of mice,J02275.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/J02275.1,Protoparvovirus
AAA69566,10794,Minute virus of mice,M12032.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/M12032.1,Protoparvovirus
AAM93275,172385,Rat minute virus 1a,AF332882.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus;Rat minute virus 1,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF332882.1,Protoparvovirus
CAA25689,10799,H-1 parvovirus,X01457.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/X01457.1,Protoparvovirus
U34255,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/,U34255
U34256,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/,U34256
AAA69566,10794,Minute virus of mice,M12032.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/M12032.1,Protoparvovirus
AAA67108,10794,Minute virus of mice,J02275.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;Rodent protoparvovirus 1,Rodent protoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/J02275.1,Protoparvovirus
AAM93275,172385,Rat minute virus 1a,AF332882.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus;Rat minute virus 1,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/AF332882.1,Protoparvovirus
M81888,,,,,,http://www.ncbi.nlm.nih.gov/nuccore/,M81888
ACT09660,56820,Chipmunk parvovirus,GQ200736.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Erythroparvovirus;Rodent erythroparvovirus 1,Rodent erythroparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/GQ200736.1,Erythroparvovirus
ADI60256,795695,Porcine bocavirus 2 pig/ZJD/China/2006,HM053694.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 2,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HM053694.2,Bocaparvovirus
ADI60252,795694,Porcine bocavirus 1 pig/ZJD/China/2006,HM053693.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HM053693.2,Bocaparvovirus
AEI99170,1511884,Porcine bocavirus A6,HQ291309.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HQ291309.1,Bocaparvovirus
ADI60252,795694,Porcine bocavirus 1 pig/ZJD/China/2006,HM053693.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 1,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HM053693.2,Bocaparvovirus
ADI60256,795695,Porcine bocavirus 2 pig/ZJD/China/2006,HM053694.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2;Porcine bocavirus 2,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HM053694.2,Bocaparvovirus
AEI99170,1511884,Porcine bocavirus A6,HQ291309.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 2,Ungulate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/HQ291309.1,Bocaparvovirus
