ProteinAccession,TaxonomyID,SpeciesName,GenomeAccession,Lineage,Genus,URL,Genus2
ADB20207,707546,Porcine parvovirus 4,GQ387499.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 2,Ungulate copiparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/GQ387499.1,Copiparvovirus
AIZ50117,1581151,Slow loris parvovirus 1,KP120516.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KP120516.1,
YP_271915,1513204,Penaeus monodon hepandensovirus 1,NC_007218.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Hepandensovirus;Decapod hepandensovirus 1,Decapod hepandensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_007218.1,Hepandensovirus
YP_227600,185639,Acheta domestica densovirus,NC_004290.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Orthopteran ambidensovirus 1,Orthopteran ambidensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_004290.1,Ambidensovirus
NP_694843,159153,Planococcus citri densovirus,NC_004289.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Hemipteran ambidensovirus 1,Hemipteran ambidensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_004289.1,Ambidensovirus
AIQ82699,340016,uncultured virus,KM052275.1,Viruses;environmental samples,,http://www.ncbi.nlm.nih.gov/nuccore/KM052275.1,
AAR07954,252602,Snake adeno-associated virus,AY349010.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Squamate dependoparvovirus 1,Squamate dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AY349010.1,Dependoparvovirus
YP_007003823,185637,Pseudoplusia includens densovirus,NC_019492.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Lepidopteran ambidensovirus 1;Junonia coenia densovirus,Lepidopteran ambidensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_019492.1,Ambidensovirus
AIE58040,1519097,Sesavirus CSL10538,KM035804.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KM035804.1,
YP_002887625,185638,Culex pipiens densovirus,NC_012685.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Dipteran ambidensovirus 1,Dipteran ambidensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_012685.1,Ambidensovirus
AFK91980,1045778,Helicoverpa armigera densovirus,JQ894784.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 5,Lepidopteran iteradensovirus 5,http://www.ncbi.nlm.nih.gov/nuccore/JQ894784.1,Iteradensovirus
NP_051020,97344,Periplaneta fuliginosa densovirus,NC_000936.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Blattodean ambidensovirus 1,Blattodean ambidensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_000936.1,Ambidensovirus
AAL09671,172296,Bovine parvovirus - 2,AF406966.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Copiparvovirus;Ungulate copiparvovirus 1,Ungulate copiparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/AF406966.1,Copiparvovirus
AFC75858,1154691,Blattella germanica densovirus-like virus,JQ320376.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/JQ320376.1,unclassified Densovirinae
NP_874381,220638,Blattella germanica densovirus 1,NC_005041.2,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;Blattodean ambidensovirus 2,Blattodean ambidensovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/NC_005041.2,Ambidensovirus
YP_008658568,1404345,Acheta domesticus mini ambidensovirus,NC_022564.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/NC_022564.1,unclassified Densovirinae
YP_009259490,1864484,Ungulate bocaparvovirus 6,NC_030402.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_030402.1,Bocaparvovirus
AHK26969,1084715,Porcine bocavirus 3,KF025380.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,Ungulate bocaparvovirus 5,http://www.ncbi.nlm.nih.gov/nuccore/KF025380.1,Bocaparvovirus
AGS15053,1165907,Porcine bocavirus,KF206158.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF206158.1,Bocaparvovirus
AGL09957,1329649,Bat bocavirus,KC339251.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KC339251.1,Bocaparvovirus
BAU88511,1174530,Feline bocavirus,LC148407.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3,Carnivore bocaparvovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/LC148407.1,Bocaparvovirus
AII82250,1174530,Feline bocavirus,KM017744.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Carnivore bocaparvovirus 3,Carnivore bocaparvovirus 3,http://www.ncbi.nlm.nih.gov/nuccore/KM017744.1,Bocaparvovirus
AJI02597,1607696,Mosquito densovirus HB-3,KM975734.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Brevidensovirus;unclassified Brevidensovirus,unclassified Brevidensovirus,http://www.ncbi.nlm.nih.gov/nuccore/KM975734.1,Brevidensovirus
YP_009229908,1329649,Bat bocavirus,NC_029300.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_029300.1,Bocaparvovirus
YP_002916059,1511883,Human bocavirus 4 NI,NC_012729.2,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Primate bocaparvovirus 2,Primate bocaparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/NC_012729.2,Bocaparvovirus
AKG54800,1108949,Canine bocavirus,KP281720.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KP281720.1,Bocaparvovirus
YP_009227290,1788315,Rat bocavirus,NC_029133.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_029133.1,Bocaparvovirus
NP_694834,125788,Bombyx mori densovirus 5,NC_004287.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;Lepidopteran iteradensovirus 1;Bombyx mori densovirus,Lepidopteran iteradensovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/NC_004287.1,Iteradensovirus
AIT71975,1561946,Hordeum marinum Itera-like densovirus,KM576800.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Iteradensovirus;unclassified Iteravirus,unclassified Iteravirus,http://www.ncbi.nlm.nih.gov/nuccore/KM576800.1,Iteradensovirus
AGL09956,1329649,Bat bocavirus,KC339250.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KC339250.1,Bocaparvovirus
AFK85003,1195367,Myotis myotis bocavirus 1,JQ814850.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JQ814850.1,Bocaparvovirus
YP_009215301,1769949,Rabbit bocaparvovirus,NC_028973.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_028973.1,Bocaparvovirus
AGS15039,1165907,Porcine bocavirus,KF206154.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF206154.1,Bocaparvovirus
ACI01073,551224,Dysaphis plantaginea densovirus,FJ040397.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/FJ040397.1,unclassified Densovirinae
AGK45548,1328105,Fox parvovirus,KC692368.1,Viruses;ssDNA viruses;Parvoviridae;unclassified Parvoviridae,,http://www.ncbi.nlm.nih.gov/nuccore/KC692368.1,
YP_009256211,1776153,Diaphorina citri densovirus,NC_030296.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;unclassified Densovirus,unclassified Densovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_030296.1,Ambidensovirus
BAS32608,1391667,Bufavirus-3,AB982223.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/AB982223.1,unclassified Parvovirinae
AGS15077,1165907,Porcine bocavirus,KF206164.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF206164.1,Bocaparvovirus
AHA86835,1427158,Seal parvovirus,KF373759.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF373759.1,Protoparvovirus
AIY27459,1165907,Porcine bocavirus,KM402137.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KM402137.1,Bocaparvovirus
YP_009010974,1165907,Porcine bocavirus,NC_023673.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_023673.1,Bocaparvovirus
AHK26987,1084715,Porcine bocavirus 3,KF025386.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;Ungulate bocaparvovirus 5,Ungulate bocaparvovirus 5,http://www.ncbi.nlm.nih.gov/nuccore/KF025386.1,Bocaparvovirus
AGS15085,1165907,Porcine bocavirus,KF206166.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Bocaparvovirus;unclassified Bocaparvovirus,unclassified Bocaparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KF206166.1,Bocaparvovirus
AFV48069,1245561,WUHARV Parvovirus 1,JX627576.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JX627576.1,Protoparvovirus
AFD01617,1157691,Parvovirus 4-like MK-2012,JN798211.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/JN798211.1,Protoparvovirus
ABV71710,289365,Human parvovirus 4,EU175872.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Primate tetraparvovirus 1,Primate tetraparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/EU175872.1,Tetraparvovirus
ANO39503,1472911,Porcine parvovirus 6,KX273435.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KX273435.1,Protoparvovirus
YP_009186840,1763507,Rat bufavirus SY-2015,NC_028650.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_028650.1,Protoparvovirus
YP_009241376,1756191,Megabat bufavirus 1,NC_029797.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_029797.1,Protoparvovirus
ALA40028,28314,Aleutian mink disease virus,KT329428.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/KT329428.1,Amdoparvovirus
AME15910,28314,Aleutian mink disease virus,KT878962.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/KT878962.1,Amdoparvovirus
AME15905,28314,Aleutian mink disease virus,KT878961.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/KT878961.1,Amdoparvovirus
YP_009130650,1580058,Mpulungu bufavirus,NC_026815.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_026815.1,Protoparvovirus
ADN44566,494652,Porcine hokovirus,GQ869543.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Tetraparvovirus;Ungulate tetraparvovirus 2,Ungulate tetraparvovirus 2,http://www.ncbi.nlm.nih.gov/nuccore/GQ869543.1,Tetraparvovirus
ABB76814,341673,Duck parvovirus,DQ250134.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;Anseriform dependoparvovirus 1,Anseriform dependoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/DQ250134.1,Dependoparvovirus
AIT18928,1560340,Tusavirus 1,KJ495710.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KJ495710.1,Protoparvovirus
BAR72999,1580060,Mfuwe bufavirus,LC011425.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/LC011425.1,Protoparvovirus
CAA66227,28314,Aleutian mink disease virus,X97629.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Amdoparvovirus;Carnivore amdoparvovirus 1,Carnivore amdoparvovirus 1,http://www.ncbi.nlm.nih.gov/nuccore/X97629.1,Amdoparvovirus
ALR74754,1755694,Protoparvovirus Zsana/2013/HUN,KT965075.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KT965075.1,Protoparvovirus
ANM72090,1241957,Porcine parvovirus 5,KX352458.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Protoparvovirus;unclassified Protoparvovirus,unclassified Protoparvovirus,http://www.ncbi.nlm.nih.gov/nuccore/KX352458.1,Protoparvovirus
YP_009134732,1642018,Cherax quadricarinatus densovirus,NC_026943.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;unclassified Densovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/NC_026943.1,unclassified Densovirinae
AIF74198,1514704,Bat parvovirus,KJ641663.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;unclassified Parvovirinae,,http://www.ncbi.nlm.nih.gov/nuccore/KJ641663.1,unclassified Parvovirinae
YP_009154712,1670662,Bearded dragon parvovirus,NC_027429.1,Viruses;ssDNA viruses;Parvoviridae;Parvovirinae;Dependoparvovirus;unclassified Dependovirus,unclassified Dependovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_027429.1,Dependoparvovirus
YP_008766862,1414671,Solenopsis invicta densovirus,NC_022748.1,Viruses;ssDNA viruses;Parvoviridae;Densovirinae;Ambidensovirus;unclassified Densovirus,unclassified Densovirus,http://www.ncbi.nlm.nih.gov/nuccore/NC_022748.1,Ambidensovirus
